PE-258/26,"MENSAJE N° 239/26 QUE SOLICITA ACUERDO PARA DESIGNAR FISCAL ANTE LOS JUZGADOS NACIONALES EN LO CRIMINAL Y CORRECCIONAL DE LA CAPITAL FEDERAL, FISCALIA N° 45, A LA DRA. DANIELA ROMINA PART."
PE-257/26,"MENSAJE N° 238/26 QUE SOLICITA ACUERDO PARA DESIGNAR VOCAL DE LA CAMARA NACIONAL DE APELACIONES EN LO COMERCIAL DE LA CAPITAL FEDERAL, SALA E, AL DR. FERNANDO GABRIEL D´ALESSANDRO."
PE-256/26,"MENSAJE N° 235/26 QUE SOLICITA ACUERDO PARA DESIGNAR FISCAL ANTE LOS JUZGADOS NACIONALES EN LO CRIMINAL Y CORRECCIONAL DE LA CAPITAL FEDERAL, FISCALIA N° 49, A LA DRA. MARIA NOEL FERNANDEZ RIVERA."
PE-255/26,"MENSAJE N° 234/26 QUE SOLICITA ACUERDO PARA DESIGNAR FISCAL ANTE LOS JUZGADOS NACIONALES EN LO CRIMINAL Y CORRECCIONAL DE LA CAPITAL FEDERAL, FISCALIA N° 55, A LA DRA. ALEJANDRA LEONOR PEREZ."
PE-254/26,"MENSAJE N° 233/26 QUE SOLICITA ACUERDO PARA DESIGNAR FISCAL ANTE LOS JUZGADOS NACIONALES EN LO CRIMINAL Y CORRECCIONAL DE LA CAPITAL FEDERAL, FISCALIA N° 60, AL DR. GABRIEL ESTEBAN PARAMOS."
PE-253/26,"MENSAJE N° 232/26 QUE SOLICITA ACUERDO PARA DESIGNAR FISCAL ANTE LOS JUZGADOS NACIONALES EN LO CRIMINAL Y CORRECCIONAL DE LA CAPITAL FEDERAL, FISCALIA N° 11, AL DR. SEBASTIAN EDUARDO MARTINEZ."
PE-252/26,"MENSAJE N° 231/26 QUE SOLICITA ACUERDO PARA DESIGNAR FISCAL ANTE LOS JUZGADOS NACIONALES EN LO CRIMINAL Y CORRECCIONAL DE LA CAPITAL FEDERAL, FISCALIA N° 38, AL DR. GUSTAVO AMELOTTI."
PE-251/26,"MENSAJE N° 230/26 QUE SOLICITA ACUERDO PARA DESIGNAR FISCAL ANTE LOS JUZGADOS NACIONALES EN LO CRIMINAL Y CORRECCIONAL DE LA CAPITAL FEDERAL, FISCALIA N° 53, AL DR. FACUNDO JESUS SORIANO."
PE-250/26,"MENSAJE N° 229/26 QUE SOLICITA ACUERDO PARA DESIGNAR FISCAL ANTE LOS JUZGADOS NACIONALES EN LO CRIMINAL Y CORRECCIONAL DE LA CAPITAL FEDERAL, FISCALIA N° 18, AL DR. EDUARDO MIGUEL ROCCHI."
PE-249/26,MENSAJE N° 228/26 QUE SOLICITA ACUERDO PARA DESIGNAR DEFENSOR PUBLICO DE VICTIMA CON ASIENTO EN LA PROVINCIA DE MENDOZA AL DR. SANTIAGO BAHAMONDES.
PE-248/26,"MENSAJE N° 227/26 QUE SOLICITA ACUERDO PARA DESIGNAR DEFENSORA PUBLICA DE MENORES E INCAPACES ANTE LOS TRIBUNALES ORALES EN LO CRIMINAL Y CORRECCIONAL DE LA CAPITAL FEDERAL, DEFENSORIA N°3 A LA DRA. CAROLINA MORALES DEGANUT."
PE-237/26,MENSAJE N° 222/26 QUE SOLICITA ACUERDO PARA DESIGNAR CONJUECES DE LOS JUZGADOS NACIONALES DE PRIMERA INSTANCIA DEL TRABAJO DE LA JURISDICCION DE LA CAMARA NACIONAL DE APELACIONES DEL TRABAJO DE LA CAPITAL FEDERAL.
PE-236/26,MENSAJE N° 221/26 QUE SOLICITA ACUERDO PARA DESIGNAR CONJUECES DE LOS TRIBUNALES ORALES EN LO CRIMINAL Y CORRECCIONAL DE LA CAPITAL FEDERAL.
